,Zipcode,num_school,school_rating_mean,Bayes_RatingSchool
0,98003,19,2.6842105263157894,2.855350378787879
1,98052,17,4.9411764705882355,4.614927685950414
2,98034,14,4.5,4.238337320574163
3,98118,14,2.5714285714285716,2.8172846889952154
4,98023,14,1.7857142857142858,2.238337320574163
5,98042,13,2.769230769230769,2.973800505050505
6,98168,13,1.9230769230769231,2.362689393939394
7,98092,13,2.8461538461538463,3.0293560606060606
8,98033,13,4.6923076923076925,4.3626893939393945
9,98030,12,2.5,2.795788770053476
10,98115,11,4.363636363636363,4.095525568181818
11,98198,11,1.2727272727272727,1.9705255681818183
12,98002,11,1.4545454545454546,2.0955255681818183
13,98058,11,2.3636363636363638,2.7205255681818183
14,98001,11,1.4545454545454546,2.0955255681818183
15,98146,10,2.2,2.6352272727272728
16,98056,10,3.8,3.7018939393939396
17,98155,10,4.3,4.035227272727273
18,98031,10,2.2,2.6352272727272728
19,98059,10,4.1,3.9018939393939394
20,98065,10,4.8,4.368560606060607
21,98022,9,3.5555555555555554,3.5377435064935066
22,98106,9,3.111111111111111,3.252029220779221
23,98038,8,4.5,4.11756993006993
24,98005,8,4.625,4.1944930069930075
25,98011,8,4.0,3.8098776223776225
26,98008,8,4.125,3.8868006993006996
27,98148,8,4.0,3.8098776223776225
28,98053,8,4.875,4.348339160839161
29,98027,8,4.625,4.1944930069930075
30,98074,8,5.0,4.425262237762238
31,98133,8,3.875,3.732954545454546
32,98006,8,4.75,4.271416083916084
33,98108,7,3.4285714285714284,3.460700757575758
34,98032,7,1.0,2.0440340909090913
35,98122,7,3.142857142857143,3.2940340909090913
36,98075,7,5.0,4.377367424242425
37,98125,7,3.7142857142857144,3.6273674242424243
38,98077,7,4.857142857142857,4.294034090909091
39,98117,7,4.714285714285714,4.210700757575758
40,98103,7,4.857142857142857,4.294034090909091
41,98188,6,1.0,2.138946280991736
42,98014,6,4.5,4.048037190082645
43,98178,6,0.5,1.866219008264463
44,98040,6,5.0,4.320764462809918
45,98029,6,5.0,4.320764462809918
46,98072,6,4.833333333333333,4.229855371900826
47,98144,6,3.0,3.2298553719008267
48,98166,5,2.6,3.0528409090909094
49,98055,5,3.8,3.6528409090909095
50,98070,5,4.0,3.752840909090909
51,98028,5,4.2,3.8528409090909093
52,98116,5,4.8,4.1528409090909095
53,98007,5,2.6,3.0528409090909094
54,98119,4,4.25,3.8364898989898992
55,98177,4,3.75,3.614267676767677
56,98112,4,4.0,3.725378787878788
57,98126,4,3.0,3.280934343434344
58,98004,4,4.5,3.9476010101010104
59,98109,3,4.333333333333333,3.8160511363636367
60,98199,3,4.666666666666667,3.9410511363636367
61,98019,3,4.333333333333333,3.8160511363636367
62,98045,3,4.0,3.6910511363636367
63,98105,3,4.666666666666667,3.9410511363636367
64,98107,2,5.0,3.9326298701298703
65,98102,2,3.0,3.361201298701299
66,98010,2,3.5,3.504058441558442
67,98024,2,5.0,3.9326298701298703
68,98136,1,4.0,3.588068181818182
69,98039,1,5.0,3.754734848484849
